영업상태구분코드,소재지전체주소,사업장명,업태구분명
1,서울특별시 영등포구 영등포동3가 20,OB베어영등포점,호프/통닭
1,서울특별시 영등포구 영등포동1가 49,더맛닭 영등포점,호프/통닭
1,서울특별시 영등포구 여의도동 44-13 충무빌딩,원조감자탕일미집 여의도점,호프/통닭
1,서울특별시 영등포구 여의도동 54-2 진주상가,윤스맘,호프/통닭
1,서울특별시 영등포구 당산동4가 80 당산 SK V1 center,푸라닭당산점,호프/통닭
1,서울특별시 영등포구 문래동2가 14-26,문래 로지오뎅빠,호프/통닭
1,서울특별시 영등포구 대림동 833-2,코코주빠,호프/통닭
1,서울특별시 영등포구 신길동 110-47,감성포차 쉼,호프/통닭
1,서울특별시 영등포구 신길동 4950 래미안에스티움,노랑통닭신풍역점,호프/통닭
1,서울특별시 영등포구 문래동4가 9-3,문래중독,호프/통닭
1,서울특별시 영등포구 여의도동 86-5 2층,여의도한강1호점 카페,호프/통닭
1,서울특별시 영등포구 문래동2가 14-100,주식회사 세계닭집,호프/통닭
1,서울특별시 영등포구 신길동 1515-6,한잔더포차,호프/통닭
1,서울특별시 영등포구 대림동 1050-40 건설스마트빌딩,천상낙원,호프/통닭
1,서울특별시 영등포구 신길동 832,오븐마루치킨 병무청점,호프/통닭
1,서울특별시 영등포구 영등포동7가 94-99,별난아재맥주 영등포점,호프/통닭
1,서울특별시 영등포구 대림동 1019-3,999맥주집,호프/통닭
1,서울특별시 영등포구 영등포동7가 203 아크로타워 스퀘어,생활맥주 영등포시장역점,호프/통닭
1,서울특별시 영등포구 대림동 1077-5,주사,호프/통닭
1,서울특별시 영등포구 당산동2가 147-1,쉼터,호프/통닭
1,서울특별시 영등포구 대림동 809,연변가수 김청 쥬빠,호프/통닭
1,서울특별시 영등포구 대림동 1082-17,헬로우호프(Hello호프),호프/통닭
1,서울특별시 영등포구 대림동 1081-3,별커피호프,호프/통닭
1,서울특별시 영등포구 당산동6가 237-36,당산항,호프/통닭
1,서울특별시 영등포구 양평동4가 51-1번지 경남아너스빌,BBQ선유도역점,호프/통닭
1,서울특별시 영등포구 문래동3가 58-51번지,양키스치킨(yankees chicken),호프/통닭
1,서울특별시 영등포구 신길동 849,푸라닭대방점,호프/통닭
1,서울특별시 영등포구 대림동 1032-1 제중빌딩,백두산호프,호프/통닭
1,서울특별시 영등포구 대림동 1032-1번지 제중빌딩,장백호프,호프/통닭
1,서울특별시 영등포구 양평동4가 97번지 풍림빌딩,하루장군,호프/통닭
1,서울특별시 영등포구 문래동5가 10번지 하우스디 비즈,굽네치킨문래점,호프/통닭
1,서울특별시 영등포구 여의도동 15-24 익스콘벤처타워,불스버거(BULL'S BURGER),호프/통닭
1,서울특별시 영등포구 여의도동 45-5번지 메종리브르오피스텔,전설,호프/통닭
1,서울특별시 영등포구 대림동 1057-7,황금커피호프,호프/통닭
1,서울특별시 영등포구 양평동4가 147-3 해성빌딩,교촌치킨선유도역점,호프/통닭
1,서울특별시 영등포구 문래동3가 55-20번지 에이스하이테크시티 지하1층 B174호,쌀쌀맞은닭문래점,호프/통닭
1,서울특별시 영등포구 여의도동 44-24 1층,고방채,호프/통닭
1,서울특별시 영등포구 양평동4가 149-5번지 2층,이순,호프/통닭
1,서울특별시 영등포구 당산동6가 335-3 골드라인 A동 1층 101호,BHC당산점,호프/통닭
1,서울특별시 영등포구 영등포동7가 29-101 지하1층 일부,봄이2,호프/통닭
1,서울특별시 영등포구 대림동 710-3번지 2층 202호,정호프,호프/통닭
1,서울특별시 영등포구 신길동 232-42,교촌치킨,통닭(치킨)
1,서울특별시 영등포구 영등포동4가 425-37 1층,시골 고깃집,호프/통닭
1,"서울특별시 영등포구 여의도동 35-2 1층 101호, 125호",여의나루 비비큐치킨(여의도역점) 피자큐,통닭(치킨)
1,서울특별시 영등포구 대림동 889-1,자담치킨 대림점,호프/통닭
1,서울특별시 영등포구 대림동 1081-52,세라SERA,호프/통닭
1,서울특별시 영등포구 신길동 116-17,보드람치킨 신길중앙점,호프/통닭
1,서울특별시 영등포구 당산동2가 16-1 대우아파트,푸라닭 문래점,호프/통닭
1,서울특별시 영등포구 당산동5가 9-1,굽네치킨 당산역점,호프/통닭
1,서울특별시 영등포구 영등포동3가 15,발리다포차 영등포점,호프/통닭
1,서울특별시 영등포구 당산동3가 35,화락바베큐치킨 영등포당산점,호프/통닭
1,서울특별시 영등포구 당산동1가 261-4,BHC 영등포구청점,호프/통닭
1,서울특별시 영등포구 영등포동3가 17 다솔 메트로시티,생활맥주 영등포타임스퀘어점,호프/통닭
1,서울특별시 영등포구 대림동 700-5 개풍빌딩,스페이스(SPACE),호프/통닭
1,서울특별시 영등포구 양평동2가 1-1 신동아하이팰리스,태평하개,호프/통닭
1,서울특별시 영등포구 대림동 1057-77,1057라운지 호썽인,호프/통닭
1,서울특별시 영등포구 신길동 4936,가마치통닭 신길점,호프/통닭
1,서울특별시 영등포구 도림동 150-5,역전할머니맥주 서울도림점,호프/통닭
1,서울특별시 영등포구 영등포동7가 203 아크로타워 스퀘어,지코바 영등포1호점,호프/통닭
1,서울특별시 영등포구 양평동1가 14-1 양평동한신아파트,꼬치피고,호프/통닭
1,서울특별시 영등포구 영등포동6가 104-1 성명빌딩,김치돼학교 영등포점,호프/통닭
1,서울특별시 영등포구 대림동 693-1,주식회사 노코멘즈(NO COMMENTS),호프/통닭
1,서울특별시 영등포구 여의도동 53 우정빌딩,지코바여의도1호점,호프/통닭
1,서울특별시 영등포구 신길동 4937 신길뉴타운 한화 꿈에그린,굽네치킨신길뉴타운점,호프/통닭
1,서울특별시 영등포구 문래동2가 20-3,포차준무,호프/통닭
1,서울특별시 영등포구 대림동 909-38,미쳐버린파닭(대림점),호프/통닭
1,서울특별시 영등포구 도림동 215-2번지,드래프트,호프/통닭
1,서울특별시 영등포구 여의도동 1번지 국회,외계인키친,호프/통닭
1,서울특별시 영등포구 영등포동4가 105-3번지,나니별관,호프/통닭
1,서울특별시 영등포구 신길동 233-78,피자트립(PIZZA TRIP),호프/통닭
1,서울특별시 영등포구 대림동 993-23번지,놀란호프,호프/통닭
1,서울특별시 영등포구 당산동1가 9-1번지 당산동코오롱주.상복합아파트,한국통닭영등포공유랑점,호프/통닭
1,서울특별시 영등포구 대림동 906-108,맥주아지트(맥酒아지트),호프/통닭
1,서울특별시 영등포구 신길동 4195,오가마 한방통닭,호프/통닭
1,서울특별시 영등포구 대림동 1086-13,천년닭강정,호프/통닭
1,서울특별시 영등포구 신길동 508 시원빌딩,기영이 숯불두마리치킨 영등포신길점,호프/통닭
1,서울특별시 영등포구 신길동 3849,펀비어킹 신풍역점,호프/통닭
1,서울특별시 영등포구 대림동 990-10,에이비씨 호프,호프/통닭
1,서울특별시 영등포구 대림동 893-60,칼포니치킨호프,호프/통닭
1,서울특별시 영등포구 대림동 714-4 태연빌딩,아라비안,호프/통닭
1,서울특별시 영등포구 당산동6가 341-1,오빠통닭 당산점,호프/통닭
1,서울특별시 영등포구 당산동6가 237-42,송가네 기와집,호프/통닭
1,서울특별시 영등포구 영등포동6가 5-8,짝태집,호프/통닭
1,서울특별시 영등포구 신길동 89-102 상록수빌딩,악동닭강정 신길점,호프/통닭
1,서울특별시 영등포구 당산동3가 342-7 영화빌딩,형제 뼈해장국,호프/통닭
1,서울특별시 영등포구 여의도동 44-23 하남빌딩,라운더스,호프/통닭
1,서울특별시 영등포구 영등포동 631-2 윤석빌딩,처갓집양념치킨 영등포본동점,호프/통닭
1,서울특별시 영등포구 당산동3가 387-2 세종빌딩,돈돼후 야시장,호프/통닭
1,서울특별시 영등포구 영등포동4가 431-8,이브,호프/통닭
1,서울특별시 영등포구 영등포동3가 3-3 로프트시티,완주,호프/통닭
1,서울특별시 영등포구 영등포동7가 79-4 영등포복합빌딩,테스형 포차,호프/통닭
1,서울특별시 영등포구 여의도동 53-12,주벡 여의도(JUAVEC_YEOUIDO),호프/통닭
1,서울특별시 영등포구 당산동2가 16-1 대우아파트,네네치킨 당산문래점,호프/통닭
1,서울특별시 영등포구 영등포동1가 139-5 진영빌딩,바밤(BAR BAM),호프/통닭
1,서울특별시 영등포구 대림동 713-6번지 청파빌딩,키스(Kiss),호프/통닭
1,서울특별시 영등포구 대림동 722-9번지,북경닭날개구이,호프/통닭
1,서울특별시 영등포구 신길동 445-2,교촌치킨 신풍역점,호프/통닭
1,서울특별시 영등포구 여의도동 44-23 하남빌딩,조니워커,호프/통닭
1,서울특별시 영등포구 영등포동7가 70-3,여의도숯닭,호프/통닭
1,서울특별시 영등포구 신길동 3962-5 대경빌딩,비비큐신길뉴타운점,호프/통닭
1,서울특별시 영등포구 대림동 714-11,롤렉스(ROLLEX),호프/통닭
1,서울특별시 영등포구 신길동 4943 선원 가와인,더꼬치다(the꼬치다),호프/통닭
1,서울특별시 영등포구 당산동1가 123,맘스치킨,호프/통닭
1,서울특별시 영등포구 영등포동7가 203번지 아크로타워 스퀘어,처갓집 양념치킨 영등포점,호프/통닭
1,서울특별시 영등포구 당산동1가 273,호식이두마리치킨(당산점),통닭(치킨)
1,서울특별시 영등포구 신길동 4969 힐스테이트 클래시안,피자쏭,통닭(치킨)
1,서울특별시 영등포구 영등포동4가 146-5번지 지상1층,꼴깍치킨엔비어펍,호프/통닭
1,서울특별시 영등포구 당산동5가 33-5,역전할머니맥주당산점,통닭(치킨)
1,서울특별시 영등포구 당산동5가 33-5,용용선생,통닭(치킨)
1,서울특별시 영등포구 당산동3가 295-2 지하1층,제일,호프/통닭
1,서울특별시 영등포구 신길동 347-40번지 지상1층,24시바로뽑아먹는짜장,호프/통닭
1,서울특별시 영등포구 여의도동 36-2,여백복고호프,호프/통닭
1,서울특별시 영등포구 대림동 993-55번지 1층,민들레호프,호프/통닭
1,서울특별시 영등포구 영등포동5가 28번지 지상1층,짜장집,호프/통닭
1,서울특별시 영등포구 영등포동 618-213 1층,부자족발,통닭(치킨)
1,서울특별시 영등포구 신길동 3741-38번지 지하1층,커피마리오,호프/통닭
1,서울특별시 영등포구 대림동 1032-10번지 1층,상지구육관,통닭(치킨)
1,"서울특별시 영등포구 대림동 865-1번지 ,1층(일부)",콘서트,통닭(치킨)
1,서울특별시 영등포구 도림동 192-1 1층,참나무숯불통닭,통닭(치킨)
1,서울특별시 영등포구 양평동2가 32-2번지 지상1층,황금호프주점,호프/통닭
1,서울특별시 영등포구 대림동 710-14 지하1층,7080라이언라이브,호프/통닭
1,서울특별시 영등포구 대림동 1058-33 지하1층,윈체스터(WINCHESTER),호프/통닭
1,서울특별시 영등포구 신길동 159-4번지 지하1층,천지 커피호프,호프/통닭
1,서울특별시 영등포구 대림동 714-1번지 1층,연길국밥,호프/통닭
1,서울특별시 영등포구 당산동1가 33 102호,근본 묵은지 김치찜,호프/통닭
1,서울특별시 영등포구 문래동4가 31-21번지 지상1층,경산 닭도매,통닭(치킨)
1,"서울특별시 영등포구 영등포동3가 20-3 지상2,3층",꾼 노리,호프/통닭
1,서울특별시 영등포구 여의도동 54-2 진주상가,진지,호프/통닭
1,서울특별시 영등포구 양평동2가 33-2번지 1층,역전포차,호프/통닭
1,서울특별시 영등포구 여의도동 13-21 맨하탄21리빙텔 103-1호,생활맥주 서여의도점,호프/통닭
1,서울특별시 영등포구 대림동 804-21 지하1층,청자호프,호프/통닭
1,서울특별시 영등포구 대림동 878-16번지,버글버글전원양꼬치,호프/통닭
1,서울특별시 영등포구 대림동 1034-3 지하1층,오아시스커피호프,호프/통닭
1,"서울특별시 영등포구 도림동 250-18번지 ,지하1층(일부)",동연호프,호프/통닭
1,서울특별시 영등포구 영등포동7가 29-101 지하1층,봄이,호프/통닭
1,서울특별시 영등포구 대림동 709-4 지하1층,Cafe JUN (까페준),호프/통닭
1,서울특별시 영등포구 여의도동 13-25 정우빌딩,오로지라멘 서여의도점,통닭(치킨)
1,서울특별시 영등포구 대림동 710-14 동아빌딩 2층,스타커피호프,호프/통닭
1,서울특별시 영등포구 대림동 713-8 1층,한금훠궈,호프/통닭
1,서울특별시 영등포구 도림동 113-18번지 지상1층,훌랄라숯불바베큐,통닭(치킨)
1,서울특별시 영등포구 영등포동 602-51번지 1층,로맨스,호프/통닭
